0,0,0,0,0
0.472990777,0.214379085,0.403141361,0.98687664,0.828947368
0.889328063,0.717647059,0.794502618,0.148293963,0.576315789
0.341238472,0.414379085,0.387434555,0.413385827,0.784210526
0.623188406,0.248366013,0.57460733,0.041994751,0.446052632
0,0,0,0,0
0.934123847,0.545098039,0.810209424,0.433070866,0.435526316
0.057971014,0.02875817,0.561518325,0.026246719,0.061842105
0.246376812,0,0.006544503,0.538057743,0.428947368
0.490118577,0.763398693,0.743455497,0.484251969,0.497368421
0,0.019607843,0,0.148293963,0.046052632
0,0.073202614,0.159685864,0.250656168,0.025
0.895915679,0.814379085,0.92408377,0.946194226,0.594736842
0,0,0,0,0
0.52173913,0.785620915,0.04973822,0.144356955,0.459210526
0,0.139869281,0,0.018372703,0.215789474
0,0,0,0,0
0.619235837,0.423529412,0.257853403,0.694225722,0.565789474
0.619235837,0.756862745,0.261780105,0.414698163,0.061842105
0.696969697,0.405228758,0.073298429,0.17191601,0.263157895
0.270092227,0.168627451,0.251308901,0.524934383,0.065789474
0.549407115,0.903267974,0.967277487,0.82152231,0.848684211
0.548089592,0.265359477,0.40052356,0.535433071,0.546052632
0,0,0,0,0
0.471673254,0,0.07460733,0,0
0.62055336,0.908496732,0.659685864,0.699475066,0.877631579
0.949934124,0.386928105,0.621727749,0.312335958,0.821052632
0.849802372,0.882352941,0.721204188,0.812335958,0.081578947
0.685111989,0.292810458,0.269633508,0.471128609,0.007894737
0.160737813,0.290196078,0.547120419,0.161417323,0.011842105
0.805006588,0.273202614,0.701570681,0.779527559,0.280263158
0.374176548,0.694117647,0.291884817,0.01312336,0.353947368
0.242424242,0.912418301,0.358638743,0.763779528,0.297368421
0,0,0,0,0
0.264822134,0.074509804,0.146596859,0.05511811,0.021052632
0.312252964,0.590849673,0.708115183,0.618110236,0.925
0.249011858,0.269281046,0.67539267,0.120734908,0.452631579
0.245059289,0.848366013,0.378272251,0.459317585,0.667105263
0.76284585,0.39869281,0.05104712,0.041994751,0.156578947
0.395256917,0.239215686,0.640052356,0.728346457,0.353947368
0.324110672,0.081045752,0.112565445,0.653543307,0.6
0.416337286,0.596078431,0.962041885,0.652230971,0.923684211
0.310935441,0.231372549,0.141361257,0.022309711,0.032894737
0,0,0,0,0
0,0,0,0.131233596,0
0.042160738,0.301960784,0.27486911,0.097112861,0.093421053
0,0,0,0,0
0.057971014,0.20130719,0.82591623,0.148293963,0.565789474
0,0,0,0,0
